#{"t_start": 1617102642.3938434, "env_id": "rl_stocks-v0"}
r,l,t
-0.001,4,86.366218
-0.001,1,86.383216
-0.001,2,86.428217
-0.001,1,86.445215
-0.001,1,86.463218
-0.001,2,86.489218
-8.349552,3,86.536215
-19.706728,6,86.586216
-0.001,3,86.630218
-0.001,1,86.648216
-0.001,4,86.696219
-0.001,2,86.716217
18.963955,7,86.797218
-0.001,1,86.818216
-0.001,3,86.84122
-0.001,1,86.892215
-0.001,4,86.912218
-0.001,2,86.959215
-15.201786,6,87.014217
-0.001,1,87.031216
-0.001,1,87.050218
-0.001,1,87.092217
-0.001,1,87.118218
-0.001,1,87.139216
-0.001,2,87.164216
-0.001,1,87.212218
-0.001,3,87.234218
40.358244,6,87.284218
-0.001,2,87.332218
-0.001,3,87.352218
-0.001,1,87.394215
-53.588931,13,87.464218
-0.001,1,87.486218
-0.001,1,87.530218
-5.155639,4,87.552217
-0.001,2,87.597218
0.47822,7,87.651217
-0.001,1,87.675224
-0.001,1,87.729218
-0.001,4,87.756218
7.986134,7,87.835218
-0.001,1,87.856218
2.808155,4,87.91222
-0.001,1,87.932219
-0.001,2,87.955216
-0.001,5,88.015218
-0.001,3,88.067218
-0.001,2,88.095218
-0.001,3,88.147216
-0.001,3,88.202218
-10.558399,6,88.26122
2.790996,3,88.28822
-0.001,3,88.340218
-0.001,1,88.358219
1.397275,3,88.406215
18.240347,5,88.451219
-0.001,1,88.468215
39.54308,5,88.513218
-0.001,1,88.529219
-0.001,1,88.549217
-0.001,1,88.615218
3.442526,3,88.645218
-0.001,3,88.716218
-0.232356,4,88.79022
-0.001,1,88.818219
-0.001,2,88.846217
-2.062383,4,88.910223
-0.001,3,88.975227
-0.001,1,89.002219
-6.238006,3,89.026216
9.461266,6,89.085217
-0.001,1,89.108216
1.140553,4,89.150218
-14.57967,5,89.201218
-1.597351,3,89.221219
-0.001,2,89.265229
0.913704,3,89.284218
-0.001,1,89.305218
-5.731002,3,89.355217
-3.684458,4,89.403218
-0.001,1,89.420216
-0.001,1,89.437217
1.630702,4,89.487218
2.317572,3,89.535224
-0.001,2,89.555216
-0.001,1,89.573215
-2.237636,4,89.623218
6.797246,5,89.669218
-0.001,2,89.689226
12.265463,9,89.753219
-0.001,2,89.806217
-18.938745,6,89.854217
-0.001,2,89.876218
-0.001,3,89.924218
-0.001,2,89.945218
-0.001,1,89.963216
-0.001,1,90.003218
-12.120353,8,90.061217
-0.001,3,90.110219
-0.001,4,90.148216
23.259644,5,90.190218
-0.001,1,90.210218
-0.001,2,90.233216
-0.001,1,90.254218
-0.001,3,90.295216
-29.163358,4,90.355216
-0.001,3,90.375217
-39.446591,6,90.442217
-0.001,4,90.464217
-0.001,1,90.506218
14.733145,7,90.559218
-3.394425,7,90.614218
-0.001,2,90.658216
-0.001,1,90.675219
-0.001,1,90.696218
-0.630321,6,90.757219
-1.457748,8,90.833217
-0.001,1,90.850219
-0.001,1,90.871219
-0.001,1,90.927218
-0.001,1,90.951218
-0.001,1,90.972218
-0.001,1,90.994218
-0.001,1,91.016217
-0.001,4,91.069216
-0.001,1,91.092219
-0.197319,11,91.172219
-0.001,1,91.194216
3.011653,4,91.252217
31.180291,6,91.31022
-0.001,1,91.33622
-0.001,4,91.378216
-0.001,1,91.405218
-0.001,1,91.434236
-0.001,3,91.482215
-2.595972,4,91.543218
-0.001,1,91.564219
-0.001,3,91.608219
-0.001,2,91.681218
-0.001,2,91.706217
-0.001,2,91.755216
-0.001,4,91.784218
-0.001,2,91.853217
-3.803281,3,91.885215
1.39952,4,91.940218
-0.001,2,91.982217
5.54685,4,92.002218
-3.545703,5,92.047218
-0.001,1,92.088216
-0.001,1,92.112221
-0.001,2,92.134217
-0.001,1,92.153216
-0.001,3,92.194219
-0.001,1,92.214216
-0.001,1,92.237215
-0.001,1,92.286216
-0.001,3,92.31022
-0.001,1,92.328219
-6.16908,6,92.391217
-0.001,1,92.411231
-0.001,1,92.430218
-0.001,1,92.447216
-0.001,2,92.498224
-0.001,3,92.523217
-27.21766,7,92.579217
-0.001,1,92.601219
-0.001,2,92.623218
-0.001,1,92.645217
-0.001,1,92.685215
-0.001,1,92.702215
-0.001,1,92.720219
21.839874,4,92.772217
-0.992489,5,92.830219
-0.001,1,92.847216
-0.001,1,92.866217
-0.001,1,92.88422
-0.001,2,92.934217
33.625004,4,92.984217
-0.001,4,93.008219
18.740633,4,93.056217
-0.001,2,93.102218
18.673809,5,93.156217
-0.001,2,93.183217
-0.001,2,93.202218
-0.001,1,93.245217
-0.001,2,93.265218
-3.835627,5,93.310218
-0.001,1,93.330218
-12.972698,7,93.393217
-12.485897,4,93.414217
-0.001,3,93.459217
-0.001,2,93.478215
-0.001,3,93.522216
-0.001,1,93.540227
-4.665779,6,93.591218
-0.001,4,93.633217
-0.001,1,93.655216
-0.001,1,93.703219
9.740265,7,93.766217
-0.001,1,93.78622
-0.001,1,93.813216
-0.001,1,93.857217
1.457637,3,93.876216
-2.510215,6,93.929217
10.106391,5,93.987219
-0.001,1,94.055217
-0.001,1,94.086222
-0.001,1,94.115218
-0.001,3,94.165219
-0.001,2,94.192221
-0.001,1,94.220217
0.638932,3,94.295219
2.003749,8,94.371218
-0.001,1,94.422218
-0.001,2,94.448219
-0.001,4,94.506221
3.3311,4,94.571219
9.358183,8,94.631218
0.446068,4,94.686217
-0.001,1,94.709224
3.59855,7,94.806218
-0.001,1,94.838216
-0.001,1,94.866218
-0.001,1,94.893221
-0.001,1,94.920217
-1.128142,5,94.982219
-0.001,1,95.037216
