Date,Time,Open,High,Low,Close,Volume,Return,Range,OpenPosition,ClosePosition,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_diff,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr
3/16/2011,10:00:00 PM,136.5200043,137.1999969,135.8000031,136.2400055,13392500,-0.000220142,0.010275938,0.514288828,0.314288828,377218791.9,164365300,0.006832573,-6768236.816,65.8610679,4.338239677,0.028603067,-440615.8535,1404.070467,1.74096457,4.933286961,0.291561239,0,0,1.92559173,-0.290914753,0,1,1.2579278,0.939834281,1.325043979,-0.385209697,24.62962719,30.59847552,0.969645175,0.828415183,0.141229992,0.153792334,24.01328798,2.374497986,40.26171403,-2.256236003,56,12,44,0,0,9.375642173,48.08880862,0,0.081072771,0.103673399,15.83538321,44.49429272,18.77339868,34.08125837,-1.031525593,0.422276393,-1.698983639,2.121260032,-0.022014221
3/17/2011,10:00:00 PM,136.5599976,137.0800018,136.25,136.9700012,9117400,0.00535816,0.006059734,0.37349021,0.867469437,383919523.5,173482700,0.034389226,-4850536.835,65.63669997,1.502084608,-0.078298076,45904.23214,1411.593701,1.650867747,4.357196538,0.36192948,0,0,1.82203172,0.012576082,0,0,1.386663762,0.813157971,1.222666777,-0.409508806,23.7274416,29.47765044,0.955793366,0.825322792,0.130470573,0.143885432,24.14616538,2.12099762,39.10794377,-3.815127632,52,8,44,0,0,4.687821087,51.1833323,0.12714992,0.042383307,0.079476597,13.77220355,45.75403409,32.34208019,23.48215839,-2.185244294,-2.54921591,-1.869030093,-0.680185817,0.535815985
3/18/2011,10:00:00 PM,138.1399994,138.8300018,137.7599945,138.3699951,18602000,0.010221172,0.007732943,0.355142319,0.570090126,386527156.6,192084700,0.016915568,-437219.2214,67.30814132,9.375921942,0.29567377,238986.7221,1411.593701,1.671781033,3.955258426,0.574125431,0,0,1.813105072,0.605562265,0,0,1.422398168,0.816323816,1.141398185,-0.325074369,29.37949559,27.10964721,0.97629906,0.798337077,0.177961983,0.135353101,24.23550727,0.124495697,37.86787311,-4.891056968,48,4,44,0,0,2.343910543,56.53471329,0.347031146,0.158060355,0.093838811,13.65779018,48.78563658,58.36424795,36.49324227,-1.107778067,0.616369812,-1.371950112,1.988319924,1.022117167
3/21/2011,10:00:00 PM,139.5,139.9100037,138.9700012,139.1399994,13742500,0.005564821,0.006755803,0.563827024,0.180848646,377755281.6,205827200,-0.022149965,1136924.055,66.68897658,7.831957879,-0.201492454,266608.7898,1419.448967,1.658603785,3.626452174,0.697204743,0,0,1.757301054,0.948199388,0,0,1.430179657,0.870926186,1.087303785,-0.216377599,32.10325496,25.29762349,0.974590372,0.817828994,0.156761378,0.128949086,24.27134979,1.198005676,36.39129376,-5.685428517,44,4,40,1,0,1.171955272,59.18486453,0.46872043,0.314300499,0.171581387,14.39531834,48.65695241,72.67658203,54.46097006,0.760375899,0.298102217,-1.037939646,1.336041863,0.556482113
3/22/2011,10:00:00 PM,138.8800049,139.3600006,138.6699982,139.0500031,9553700,-0.000646804,0.004962261,0.304356479,0.550729766,378724595.5,196273500,0.029037186,851678.0453,60.57559672,-3.069524303,-0.787821103,70295.18095,1418.530861,1.56174365,3.442758034,0.65963111,0,0,1.737342035,0.926606404,0,0,1.435756925,0.896601541,1.049163336,-0.152561795,31.10022093,25.86566829,0.917688039,0.861646052,0.056041987,0.123856446,24.31226267,1.430000305,33.91477632,-6.98376819,40,4,36,0,0,3.332465532,58.73411536,0.585275519,0.467009032,0.313123295,14.85173239,48.06214915,71.00378917,67.34820638,-0.215287434,-2.380739305,-1.306499578,-1.074239727,-0.064680421
3/23/2011,10:00:00 PM,139.6100006,140.5500031,139.5500031,140.3399963,11541000,0.00927719,0.007125552,0.059997559,0.789993286,385418220.6,207814500,0.058352427,2856840.112,68.39331007,8.968058765,0.978186934,100888.6754,1418.530861,1.555569285,3.627890817,0.880016073,0,0,1.734997181,1.435584533,1,0,1.387191021,1.009405326,1.041211734,-0.031806408,34.38782694,24.10265042,1.022737602,0.768076179,0.254661424,0.121467239,24.41769226,0.928499603,32.44086479,-7.029464841,100,4,96,0,0,15.58270951,63.07512366,0.82394275,0.625979566,0.469096365,16.59194752,52.52207632,94.98133778,79.55390299,0.443741134,-3.347264324,-1.714652527,-1.632611797,0.927718992
3/24/2011,10:00:00 PM,140.2700043,141.2799988,138.8300018,139.2200012,17016600,-0.007980584,0.017598024,0.587756831,0.159183623,373819148.6,190797900,0.042188868,-273924.0338,59.09844865,0.071948895,0.596120442,-28734.3554,1418.530861,1.645012052,3.413429165,0.637739647,0,0,1.848086942,0.857850845,0,0,1.397479107,0.996936825,1.032356752,-0.035419927,33.89621563,21.52228953,0.967515791,0.794117529,0.173398262,0.119134184,24.65237845,0.84150238,31.97155848,-5.972187375,96,4,92,0,0,28.76953744,57.42670692,0.513394626,0.640870965,0.577953188,16.33359429,50.6320636,65.95047075,77.3118659,-0.100458804,-0.818499081,-1.535421838,0.716922757,-0.798058391
3/25/2011,10:00:00 PM,140,140.2400055,138.6600037,139.2599945,13191100,0.000287267,0.011345698,0.848097965,0.379740601,370646441.1,203989000,0.020539701,-159426.9666,51.72037867,-7.246509823,-0.438052607,-132013.039,1418.938358,1.63851103,3.342665766,0.628908448,0,0,1.821822225,0.827911489,0,0,1.411293359,0.978997301,1.021684862,-0.042687561,31.55038305,20.77742708,0.931394414,0.878853292,0.052541122,0.11675991,24.93082914,-0.89249649,30.32981377,-5.848657945,92,4,88,0,0,39.79261008,57.57281307,0.57882286,0.638720078,0.635190203,16.17021227,50.94928661,66.61151647,75.847775,-0.107602863,-1.081394289,-1.444616328,0.363222039,0.028726681
3/28/2011,10:00:00 PM,137.8200073,138.8300018,137.7799988,138.5399933,7656000,-0.005170194,0.007579061,0.038103265,0.723802189,374073300.2,196333000,0.028768417,-924127.3064,52.61335715,-15.70347414,-1.17298211,-35793.6418,1411.602171,1.622659499,3.276976798,0.463367867,0,0,1.838542338,0.566558984,0,0,1.446686383,0.896349459,0.996617781,-0.100268323,29.49150647,23.3017249,0.899238352,0.885690199,0.013548154,0.113197742,25.13280319,-0.486499023,27.73510271,-6.711668481,88,68,20,0,0,56.54715191,53.9810831,0.359614252,0.483943912,0.587844985,14.97568451,49.17625576,54.71067585,62.42422102,0.558894527,-4.622536908,-2.080200444,-2.542336464,-0.517019423
3/29/2011,10:00:00 PM,138.2100067,138.8200073,137.9400024,138.2100067,6345200,-0.002381887,0.006367158,0.306821334,0.306821334,371621785.7,189987800,-0.045634585,-1091227.805,48.43405157,1.040225597,-1.26383152,-54696.55477,1408.239895,1.548394038,3.171284783,0.407756173,0,0,1.715875253,0.340905396,0,0,1.497810447,0.795058352,0.956305896,-0.161247543,28.30859225,22.36708489,0.90080945,0.897828497,0.002980952,0.108301439,25.24217122,0.244499969,26.05878425,-6.809883638,84,64,20,0,0,69.43108669,52.36856492,0.285577628,0.408004913,0.510222968,13.52043615,45.37644005,49.25635509,56.8595158,-0.007230869,-8.425921613,-3.349344678,-5.076576935,-0.238188673
3/30/2011,10:00:00 PM,139.0700073,139.1799927,137.6799927,138.6699982,10749400,0.003328207,0.010817048,0.926676432,0.660003662,375061672.4,200737200,-0.022367231,-228962.0978,55.89256001,0.697543021,0.1267259,20662.6762,1408.239895,1.543554634,3.053791455,0.527651671,0,0,1.72769359,0.44662148,0,0,1.469191604,0.743333204,0.913711357,-0.170378153,28.01304504,20.83316589,0.979045874,0.852876209,0.126169664,0.103170885,25.33060537,-2.282996368,24.82962522,-6.452562822,80,60,20,0,0,63.84783433,54.41285986,0.421988409,0.355726763,0.415891863,12.85508072,47.37150805,56.8595158,53.60884892,-0.136830218,-8.528692733,-4.385214289,-4.143478444,0.332820659
3/31/2011,10:00:00 PM,140.0800018,140.3999939,139.7799988,139.8600006,15227300,0.008581542,0.00443297,0.483879701,0.129036228,363764119.1,215964500,-0.045071066,2392393.084,57.12070756,6.758874948,0.153525347,166449.9415,1408.239895,1.562198743,3.141702918,0.779748058,0,0,1.693471573,0.812959809,0,0,1.430922695,0.789265739,0.888822234,-0.099556494,31.3495752,19.19791095,1.008479146,0.821508965,0.186970181,0.099601347,25.13558228,-2.401495361,24.89730664,-4.943707352,76,56,20,0,0,61.3264575,59.28166776,0.746872004,0.48481268,0.416181452,13.68481665,49.33512513,76.52896772,60.88161287,2.634472903,-5.532336943,-4.61463882,-0.917698123,0.85815422
4/1/2011,10:00:00 PM,138.6499939,139.5500031,137.7200012,139.1999969,15738300,-0.004719031,0.013146565,0.508192211,0.808740026,373482205.4,200226200,-0.027685804,566717.5528,49.87927966,-16.91823166,-1.72705773,56404.19383,1408.239895,1.619978808,3.129182704,0.630470735,0,0,1.802074905,0.510764294,0,0,1.429967315,0.763608422,0.863779471,-0.100171049,28.38184681,26.49319593,0.881137194,0.894488305,-0.013351111,0.096089675,25.11742773,-1.663999176,22.92978268,-5.415507857,72,52,20,0,0,47.49065291,55.72676827,0.509662291,0.559507568,0.466682337,13.353197,49.40602848,65.61982179,66.33610177,2.172630164,-2.855754686,-4.262861993,1.407107307,-0.471903088
4/4/2011,10:00:00 PM,140.1300049,140.2599945,139.4499969,139.8399963,9685100,0.004597697,0.005792317,0.839518499,0.481482179,373123511.5,209911300,-0.010613765,1371251.915,59.41817908,10.20321763,0.560738074,-29740.36983,1414.714555,1.563980683,3.147237988,0.775018387,0,0,1.78273914,0.748185586,0,0,1.240514729,0.785858527,0.848195282,-0.062336755,30.2372802,25.21967,1.032930176,0.801453908,0.231476268,0.093490461,25.06248028,-0.270005035,21.26330962,-5.676262399,68,48,20,0,0,31.67352144,58.33584804,0.683759777,0.64676469,0.56369498,13.8317233,55.68146885,73.7225627,71.9571174,2.095345763,-4.575764841,-4.325442563,-0.250322279,0.459769687
