Date,Time,Open,High,Low,Close,Volume
2014-11-03,20:30:00,202.34000,202.43000,201.95000,201.96000,8239185.00000
2014-11-03,21:30:00,201.96000,201.97000,201.31000,201.35000,13115112.00000
2014-11-03,22:00:00,201.34000,201.77000,201.34000,201.74000,11270409.00000
2014-11-04,16:30:00,201.23000,201.60000,200.89000,200.93000,18619174.00000
2014-11-04,17:30:00,200.93000,200.96000,200.06000,200.49000,17443309.00000
2014-11-04,18:30:00,200.49000,200.94000,200.25000,200.87000,10371795.00000
2014-11-04,19:30:00,200.88000,201.21000,200.68000,200.85000,7931525.00000
2014-11-04,20:30:00,200.85000,201.39000,200.70000,200.97000,9091381.00000
2014-11-04,21:30:00,200.97000,201.30000,200.84000,201.04000,9505338.00000
2014-11-04,22:00:00,201.04000,201.21000,200.94000,201.12000,8931889.00000
2014-11-05,16:30:00,202.54000,202.59000,201.62000,201.73000,21172502.00000
2014-11-05,17:30:00,201.73000,202.21000,201.45000,202.01000,12083304.00000
2014-11-05,18:30:00,202.01000,202.34000,201.84000,202.09000,10076459.00000
2014-11-05,19:30:00,202.09000,202.35000,202.05000,202.13000,7850197.00000
2014-11-05,20:30:00,202.13000,202.21000,201.64000,202.12000,9267632.00000
2014-11-05,21:30:00,202.12000,202.32000,201.98000,202.11000,8476052.00000
2014-11-05,22:00:00,202.11000,202.44000,202.01000,202.37000,11021886.00000
2014-11-06,16:30:00,202.39000,202.70000,201.64000,202.05000,21320279.00000
2014-11-06,17:30:00,202.04000,202.80000,201.77000,202.75000,14479591.00000
2014-11-06,18:30:00,202.75000,202.87000,202.50000,202.72000,11584815.00000
2014-11-06,19:30:00,202.73000,202.96000,202.56000,202.94000,9595297.00000
2014-11-06,20:30:00,202.94000,203.01000,202.79000,202.95000,6376975.00000
2014-11-06,21:30:00,202.95000,203.08000,202.76000,203.01000,7403717.00000
2014-11-06,22:00:00,203.01000,203.26000,202.96000,203.18000,10802371.00000
2014-11-07,16:30:00,203.17000,203.27000,202.65000,202.87000,16127515.00000
2014-11-07,17:30:00,202.87000,203.53000,202.61000,203.52000,11751668.00000
2014-11-07,18:30:00,203.51000,203.60000,203.21000,203.43000,6534757.00000
2014-11-07,19:30:00,203.44000,203.45000,203.27000,203.41000,5788168.00000
2014-11-07,20:30:00,203.40000,203.53000,203.16000,203.22000,7741013.00000
2014-11-07,21:30:00,203.22000,203.27000,202.81000,202.81000,10538203.00000
2014-11-07,22:00:00,202.82000,203.38000,202.76000,203.37000,12089661.00000
2014-11-10,16:30:00,203.38000,203.53000,203.13000,203.28000,16079674.00000
2014-11-10,17:30:00,203.27000,203.93000,203.26000,203.81000,9582349.00000
2014-11-10,18:30:00,203.90000,204.04000,203.66000,203.74000,7433173.00000
2014-11-10,19:30:00,203.74000,203.89000,203.65000,203.87000,4060700.00000
2014-11-10,20:30:00,203.87000,203.93000,203.59000,203.83000,3934660.00000
2014-11-10,21:30:00,203.83000,203.97000,203.70000,203.85000,5756691.00000
2014-11-10,22:00:00,203.85000,204.00000,203.75000,203.97000,9270712.00000
2014-11-11,16:30:00,204.06000,204.18000,203.65000,204.12000,12143885.00000
2014-11-11,17:30:00,204.13000,204.31000,204.04000,204.13000,7081713.00000
2014-11-11,18:30:00,204.12000,204.18000,203.83000,203.92000,5327329.00000
2014-11-11,19:30:00,203.92000,204.03000,203.70000,203.80000,5000012.00000
2014-11-11,20:30:00,203.80000,204.01000,203.73000,203.96000,5333480.00000
2014-11-11,21:30:00,203.96000,203.96000,203.79000,203.85000,5887120.00000
2014-11-11,22:00:00,203.85000,204.17000,203.81000,204.17000,7478286.00000
2014-11-12,16:30:00,203.35000,203.95000,203.31000,203.79000,12924212.00000
2014-11-12,17:30:00,203.79000,203.81000,203.39000,203.70000,11832985.00000
2014-11-12,18:30:00,203.70000,204.19000,203.69000,204.09000,11592720.00000
2014-11-12,19:30:00,204.09000,204.15000,203.91000,204.14000,7967783.00000
2014-11-12,20:30:00,204.14000,204.19000,203.93000,204.13000,7752206.00000
2014-11-12,21:30:00,204.13000,204.14000,203.71000,204.08000,10452974.00000
2014-11-12,22:00:00,204.08000,204.24000,203.94000,203.98000,11174161.00000
2014-11-13,16:30:00,204.16000,204.77000,204.13000,204.71000,14100928.00000
2014-11-13,17:30:00,204.71000,204.83000,204.06000,204.24000,12426536.00000
2014-11-13,18:30:00,204.24000,204.25000,203.74000,204.18000,10019803.00000
